recipe_name,recipe_link,main_ingredient,meal_role,calories_kcal,carbohydrates_g,protein_g,fat_g,fiber_g,cholesterol_mg,sodium_mg,potassium_mg,calcium_mg,vitamin_a_iu,vitamin_c_mg,iron_mg,price_try,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9,ingredient_10,ingredient_11,ingredient_12,ingredient_13,ingredient_14,ingredient_15,ingredient_16,ingredient_17,ingredient_18,ingredient_19,ingredient_20,ingredient_21,ingredient_22,ingredient_23,ingredient_24,ingredient_25,ingredient_26,ingredient_27,ingredient_28,ingredient_29,ingredient_30
Yayla Çorbası,https://www.nefisyemektarifleri.com/video/yayla-corbasi-nasil-yapilir/,Süt Ürünü,Çorba,150,17.5,4.9,6.3,0.06,46.1,214.62,205.1,67.2,105.5,0.3,0.7,10.79,1 çay bardağı pirinç,3 su bardağı su,3 su bardağı sıcak su (tavuk suyu veya kemik suyu),Tuz,1 adet yumurta sarısı,1.5 su bardağı yoğurt,1 yemek kaşığı un,2 yemek kaşığı tereyağı,1 yemek kaşığı kuru nane,,,,,,,,,,,,,,,,,,,,,
Ezogelin Çorbası,https://www.nefisyemektarifleri.com/ezogelin-corbasi-yapilisi/,Bakliyat,Çorba,113,14,3,3,5,3.7,123.8,377.1,17,161,3.2,1.7,9.88,1 su bardağı kırmızı mercimek,1 tatlı kaşığı pirinç,1 tatlı kaşığı bulgur,2 çay kaşığı pul biber,1 yemek kaşığı nane,2 diş sarımsak,1 orta boy soğan,1 yemek kaşığı biber salçası,1 yemek kaşığı tereyağı,2 litreye yakın sıcak su,Tuz,,,,,,,,,,,,,,,,,,,
Sütlü Domates Çorbası,https://www.nefisyemektarifleri.com/video/sutlu-domates-corbasi-tarifi/,Sebze,Çorba,198,16.9,3.5,13.5,2.7,8.9,319.7,712,67.4,1658.2,23.7,0.97,24.1,2 yemek kaşığı sıvı yağ,1 yemek kaşığı tereyağı,2 tepeleme yemek kaşığı un,1 yemek kaşığı domates salçası,5 adet domates,4 su bardağı su,Yarım su bardağı süt,1 silme tatlı kaşığı tuz,,,,,,,,,,,,,,,,,,,,,,
Kırmızı Mercimek Çorbası,https://www.nefisyemektarifleri.com/video/kirmizi-mercimek-corbasi-nasil-yapilir/,Bakliyat,Çorba,284,25.3,13,12.7,9.4,7.62,97.41,371.8,262.08,1121.38,2.45,3.2,13.88,2 su bardağı kırmızı mercimek,1 adet soğan,2 yemek kaşığı un,1 adet havuç,Yarım yemek kaşığı biber ya da domates salçası (rengi kırmızı olsun isterseniz artırabilir ya da hiç kullanmayabilirsiniz),1 tatlı kaşığı tuz,Yarım çay kaşığı karabiber,1 çay kaşığı kimyon (isteğe bağlı),2 litre sıcak su,5 yemek kaşığı sıvı yağ,2 yemek kaşığı tereyağı,1 tatlı kaşığı kırmızı toz biber,,,,,,,,,,,,,,,,,,
Ezogelin Çorbası,https://www.nefisyemektarifleri.com/video/ezogelin-corbasi-tarifi-video/,Bakliyat,Çorba,279,31.5,11.3,10.6,8.29,106.54,130.75,558.5,35.8,268.7,6.81,3.5,9.88,1 yemek kaşığı sıvı yağ,1 yemek kaşığı tereyağı,1 adet kuru soğan,2 diş sarımsak,1 su bardağı kırmızı mercimek,1 kahve fincanı bulgur (4 yemek kaşığı),Yarım kahve fincanı pirinç (2 yemek kaşığı),6 su bardağı sıcak su + 2.5 su bardağı sıcak su,2 yemek kaşığı sıvıyağ,1 yemek kaşığı un,2 yemek kaşığı domates salçası,2 su bardağı sıcak su,1 tatlı kaşığı nane,1 çay kaşığı kırmızı pul biber,1 çay kaşığı karabiber,1.5 tatlı kaşığı kadar tuz,,,,,,,,,,,,,,
Mantar Çorbası,https://www.nefisyemektarifleri.com/video/mantar-corbasi-tarifi/,Sebze,Çorba,188,9.9,2.9,15.8,1.07,10.83,134.4,260.16,86.12,255.7,4.25,0.3,12.54,2 adet kuru soğan,10 adet mantar,4 yemek kaşığı sıvı yağ,1 yemek kaşığı tereyağı,2 yemek kaşığı un,1 litre sıcak su,1 su bardağı süt,Yarım çay kaşığı karabiber,1 tatlı kaşığı tuz,1 yemek kaşığı tereyağı,1 tatlı kaşığı kırmızı toz biber,,,,,,,,,,,,,,,,,,,
Şehriyeli Tavuk Suyu Çorbası,https://www.nefisyemektarifleri.com/video/sehriyeli-tavuk-suyu-corbasi/,Tavuk,Çorba,101,12.2,11.3,0.9,0.3,1.2,177.12,156.36,138.6,172.5,5.02,0.45,24.13,200gr tavuk göğsü,1 tatlı kaşığı tuz (haşlarken kullanılacak),1 su bardağı tavuk suyu,3 su bardağı sıcak su,Yarım çay bardağı tel şehriye,1 tatlı kaşığı tuz,1 tatlı kaşığı nane,1 çay kaşığı pulbiber,1 çay kaşığı karabiber,2 yemek kaşığı un,1 yemek kaşığı limon suyu,2 su bardağı ılık su,,,,,,,,,,,,,,,,,,
Yoğurt Çorbası,https://www.nefisyemektarifleri.com/video/yogurt-corbasi-kesinlikle-deneyin-mukemmel-oluyor-videolu/,Süt Ürünü,Çorba,101,15.2,2.9,3.1,0.6,7.1,93.04,103.51,46.3,169.8,0.34,0.42,3.5,1 su bardağı yoğurt,3 tepeleme yemek kaşığı un,5 su bardağı su,1 çay bardağı erişte,1 silme tatlı kaşığı tuz,1 yemek kaşığı tereyağı,1 tatlı kaşığı kırmızı toz biber,1 tatlı kaşığı nane,,,,,,,,,,,,,,,,,,,,,,
Brokoli Çorbası,https://www.nefisyemektarifleri.com/video/brokoli-corbasi-nasil-yapilir/,Sebze,Çorba,180,14.6,7.8,10.4,5.05,7.62,132.98,828.12,245.41,302.32,166.25,1.9,39.81,500 g brokoli,1 adet havuç,1 adet orta boy patates,1 adet soğan,Sıcak su (üzerini geçecek kadar),2 su bardağı süt,1 çay bardağı süt kreması,2 yemek kaşığı tereyağ,1 yemek kaşığı un,Tuz,Karabiber,,,,,,,,,,,,,,,,,,,
Erişteli Yeşil Mercimek Çorbası,https://www.nefisyemektarifleri.com/eristeli-yesil-mercimek-corbasi/,Bakliyat,Çorba,184,17,11,7.1,6.28,4.28,626.42,764.4,42.28,163.14,2.7,2.6,25.48,1 su bardağı yeşil mercimek,1 su bardağı erişte,1 adet kuru soğan,1 yemek kaşığı salça,8 su bardağı et suyu (yoksa bulyon da kullanılabilir),Tuz,Pul biber,Nane,Karabiber,Yarım çay bardağı sıvı yağ,,,,,,,,,,,,,,,,,,,,
